Cases,Deaths,Recovered,Travel_history,Province
3,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
16,0,0,Local - Social Contact,Khyber Pakhtunkhwa
7,0,0,Unknown,Islamabad Capital Territory
0,3,0,Iran/Taftan,Punjab
14,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
5,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
16,0,0,Local - Social Contact,Sindh
0,0,10,Iran/Taftan,Sindh
94,0,0,Tableeghi Jamaat,Sindh
1,0,0,Local - Social Contact,Sindh
14,0,17,Iran/Taftan,Baluchistan
37,0,0,Unknown,Gilgit-Baltistan
0,0,0,Unknown,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Federal Administration Tribal Area
3,0,0,Unknown,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
10,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,5,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Iran/Taftan,Federal Administration Tribal Area
4,1,10,Iran/Taftan,Khyber Pakhtunkhwa
10,0,0,Unknown,Khyber Pakhtunkhwa
13,0,0,International Passenger,Islamabad Capital Territory
2,0,0,Unknown,Azad Jummu Kashmir
1,0,0,Unknown,Azad Jummu Kashmir
1,1,0,Local - Social Contact,Khyber Pakhtunkhwa
1,1,0,Local - Social Contact,Khyber Pakhtunkhwa
0,0,2,Local - Social Contact,Khyber Pakhtunkhwa
3,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
2,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Federal Administration Tribal Area
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
2,0,0,Local - Social Contact,Federal Administration Tribal Area
2,0,0,Local - Social Contact,Khyber Pakhtunkhwa
7,0,10,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Federal Administration Tribal Area
33,1,3,Local - Social Contact,Sindh
2,0,0,Local - Social Contact,Punjab
48,0,0,Local - Social Contact,Punjab
7,1,0,Local - Social Contact,Punjab
6,0,0,Local - Social Contact,Baluchistan
28,0,0,Local - Social Contact,Punjab
2,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
8,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
2,0,0,Local - Social Contact,Punjab
16,0,0,Iran/Taftan,Punjab
63,0,0,Iran/Taftan,Punjab
27,0,0,Tableeghi Jamaat,Punjab
3,0,0,Iran/Taftan,Punjab
3,1,0,Unknown,Gilgit-Baltistan
32,1,9,Local - Social Contact,Sindh
0,1,0,Tableeghi Jamaat,Sindh
0,0,2,Iran/Taftan,Sindh
21,1,0,Unknown,Punjab
4,0,0,Unknown,Islamabad Capital Territory
5,0,0,Local - Social Contact,Baluchistan
1,1,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
5,0,0,Local - Social Contact,Khyber Pakhtunkhwa
2,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
6,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
17,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,3,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Punjab
2,0,0,Local - Social Contact,Punjab
10,0,0,Local - Social Contact,Punjab
6,0,0,Local - Social Contact,Punjab
6,0,0,Iran/Taftan,Punjab
27,0,0,Iran/Taftan,Punjab
2,0,0,Iran/Taftan,Punjab
1,0,1,Unknown,Gilgit-Baltistan
1,0,0,Unknown,Gilgit-Baltistan
1,0,0,Unknown,Gilgit-Baltistan
6,0,0,Unknown,Islamabad Capital Territory
40,3,0,Local - Social Contact,Sindh
